id,ARRAY_PARTITION_FACTOR,INIT_INTERVAL_HOR,INIT_INTERVAL_VER,ACCELERATOR_1_UNCERTAINTY,DATA_MOVER_CLOCK,ACCELERATOR_2_CLOCK,UNROLL_FACTOR_VER,ACCELERATOR_2_UNCERTAINTY,ACCELERATOR_1_CLOCK,UNROLL_FACTOR_HOR,state,time
124,7,1,1,21.368445000216507,3,0,1,95.70129763250111,2,2,ERROR,inf
125,8,2,1,69.20617479708719,3,0,1,80.39705317627065,3,1,ERROR,inf
126,5,7,2,54.83926872573463,2,0,2,52.089460353668585,2,2,TIMEOUT,inf
127,1,5,16,71.04460315429306,0,3,1,0.4680843513506727,2,2,ERROR,inf
128,1,5,5,23.513465021124127,2,2,2,68.66917402376806,1,2,ERROR,inf
129,2,3,2,21.204469216840337,3,1,2,65.63393681169077,0,2,ERROR,inf
130,9,1,3,28.744795095284292,1,0,1,75.50224127907553,1,1,OK,224648.0
131,12,2,3,28.744795095284292,1,0,1,77.24702588238095,3,1,ERROR,inf
132,11,1,2,28.744795095284292,1,0,1,77.24702588238095,1,1,OK,151532.0
133,12,1,5,24.974980422679305,1,0,1,76.75366017159534,1,1,OK,371288.0
134,11,1,3,28.744795095284292,1,0,1,66.33168932591124,3,1,ERROR,inf
135,12,1,3,28.744795095284292,0,2,1,77.24702588238095,1,1,ERROR,inf
136,9,1,3,28.744795095284292,3,0,1,77.24702588238095,1,1,ERROR,inf
137,12,1,3,28.744795095284292,1,1,1,77.24702588238095,1,1,OK,261406.0
138,12,1,3,37.91541044800471,0,3,1,77.24702588238095,1,1,ERROR,inf
139,13,1,3,28.744795095284292,1,0,1,77.24702588238095,3,1,ERROR,inf
140,12,1,3,28.744795095284292,1,0,1,77.24702588238095,3,1,ERROR,inf
141,10,1,3,50.11457282900524,1,0,1,77.24702588238095,1,1,OK,224654.0
142,12,1,3,28.744795095284292,1,0,1,88.02098188635289,1,1,OK,224866.0
143,12,1,3,44.61652413940478,1,1,1,77.24702588238095,2,1,ERROR,inf
144,10,1,4,28.744795095284292,1,2,1,77.24702588238095,3,1,ERROR,inf
145,11,1,2,28.744795095284292,1,0,1,78.30117380504791,0,1,ERROR,inf
146,12,1,2,28.744795095284292,1,0,1,77.24702588238095,0,1,ERROR,inf
157,11,1,2,28.744795095284292,1,0,1,77.24702588238095,3,1,ERROR,inf
148,14,1,2,28.744795095284292,1,2,1,77.24702588238095,2,1,ERROR,inf
149,9,1,2,28.744795095284292,1,0,1,84.5510559114604,2,1,ERROR,inf
150,13,1,2,28.744795095284292,1,0,1,77.24702588238095,1,1,ERROR,inf
152,11,1,2,28.744795095284292,1,0,1,67.55625065807163,1,1,OK,151546.0
153,13,1,2,46.69507306205625,1,0,1,96.0317621291189,3,1,ERROR,inf
154,14,1,2,28.744795095284292,1,0,1,77.24702588238095,1,1,OK,151560.0
155,11,1,2,28.744795095284292,1,0,1,77.24702588238095,0,1,ERROR,inf
156,7,1,2,30.574773347531035,1,3,1,77.24702588238095,1,1,OK,188178.0
158,11,1,2,17.92138188512178,1,3,1,77.24702588238095,1,1,OK,127036.0
159,12,1,2,28.744795095284292,1,3,1,77.24702588238095,1,1,OK,127174.0
160,11,1,1,8.689336177385767,1,3,1,77.24702588238095,1,1,OK,127106.0
171,11,1,2,17.92138188512178,0,3,1,77.24702588238095,1,1,ERROR,inf
162,11,1,2,17.92138188512178,1,2,1,77.24702588238095,1,1,OK,249102.0
163,6,1,1,17.92138188512178,2,3,1,77.24702588238095,1,1,ERROR,inf
164,11,1,2,17.92138188512178,1,3,1,80.68439874905138,1,1,OK,127172.0
165,11,1,2,17.92138188512178,0,3,1,72.68310504498525,1,1,ERROR,inf
166,12,1,1,17.54134683283904,1,3,1,77.24702588238095,1,1,OK,127180.0
167,12,1,1,17.92138188512178,1,3,1,77.24702588238095,2,1,ERROR,inf
168,12,1,2,17.92138188512178,1,3,1,76.38768658948321,1,1,OK,127206.0
169,11,2,2,25.627667057589388,1,3,1,92.78136375048472,3,1,ERROR,inf
170,11,1,2,17.92138188512178,1,3,1,66.08035701214389,1,1,OK,127170.0
172,8,1,2,17.92138188512178,1,2,1,78.81058871331652,1,1,OK,249320.0
173,12,1,2,17.92138188512178,1,0,1,56.8039403441683,1,1,OK,151556.0
174,11,1,2,14.156871317615744,2,3,1,77.24702588238095,1,1,ERROR,inf
175,15,1,2,17.92138188512178,1,3,1,77.24702588238095,1,1,OK,127380.0
176,11,1,3,8.257437772168554,1,3,1,77.24702588238095,1,1,OK,188010.0
177,2,4,2,39.097465725942854,2,1,2,58.685312205700455,0,2,ERROR,inf
178,10,2,2,9.574059624364567,1,2,1,77.24702588238095,1,1,OK,249292.0
179,11,1,1,17.92138188512178,2,3,1,77.24702588238095,1,1,ERROR,inf
180,11,1,2,39.99667475333172,1,3,1,77.24702588238095,3,1,ERROR,inf
181,11,1,2,17.92138188512178,3,0,1,73.57579198526925,2,1,ERROR,inf
182,11,1,2,25.318569689694602,3,3,1,57.15786248092745,0,1,ERROR,inf
183,9,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,127012.0
184,11,1,2,26.044871167854144,1,3,1,77.24702588238095,1,1,OK,127154.0
185,11,1,1,17.92138188512178,3,3,1,77.24702588238095,1,1,ERROR,inf
186,15,1,2,17.92138188512178,2,3,1,77.24702588238095,1,1,ERROR,inf
187,11,1,2,17.92138188512178,1,0,1,86.02773778642558,1,1,OK,151642.0
188,11,1,2,17.92138188512178,2,1,1,77.24702588238095,1,1,ERROR,inf
189,11,1,2,25.307746795518565,3,3,1,66.85770781094429,1,1,ERROR,inf
190,14,1,2,17.491387146032267,1,3,1,77.24702588238095,1,1,OK,127132.0
191,8,1,1,17.92138188512178,0,3,1,85.42713304884339,1,1,ERROR,inf
192,11,1,2,17.92138188512178,3,3,1,77.24702588238095,1,1,ERROR,inf
193,10,1,3,27.043881073600296,1,3,1,77.24702588238095,3,1,ERROR,inf
194,9,1,2,27.043881073600296,0,3,1,75.3593958947299,2,1,ERROR,inf
195,9,1,1,27.043881073600296,1,3,1,79.35831266627581,1,1,OK,127142.0
196,9,2,2,27.043881073600296,1,3,1,77.24702588238095,0,1,ERROR,inf
756,9,1,2,27.043881073600296,2,3,1,77.24702588238095,1,1,ERROR,inf
198,9,1,3,27.043881073600296,0,2,1,77.24702588238095,1,1,ERROR,inf
199,9,1,2,37.681693733029164,1,3,1,77.24702588238095,1,1,OK,127236.0
200,9,1,2,15.798473076125946,3,3,1,77.24702588238095,1,1,ERROR,inf
834,8,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,127110.0
877,9,1,2,27.043881073600296,1,2,1,77.24702588238095,0,1,ERROR,inf
