id,PIPELINE_II_SUB,KERNEL_CLOCK,UNROLL_FACTOR_EXP1,UNROLL_FACTOR_EXP2,UNROLL_FACTOR_ECB1,UNROLL_FACTOR_ECB3,UNROLL_FACTOR_ECB2,PIPELINE_II_ADDKEY,PIPELINE_II_ECB1,PIPELINE_II_ECB2,PIPELINE_II_ECB3,PIPELINE_II_EXP1,PIPELINE_II_EXP2,PIPELINE_EXP2,PIPELINE_EXP1,UNROLL_FACTOR_ADDKEY,UNROLL_FACTOR_SUB,UNROLL_FACTOR_MIX,PIPELINE_SUB,PIPELINE_II_CPKEY,PIPELINE_II_MIX,PIPELINE_ECB2,PIPELINE_ECB3,PIPELINE_ECB1,PIPELINE_ADDKEY,DATA_MOVER_CLOCK,UNROLL_FACTOR_CPKEY,PIPELINE_MIX,PIPELINE_CPKEY,state,presynth_time,synth_time,impl_time,run_time
55,13,2,3,2,16,3,6,4,25,2,6,3,3,False,True,15,9,4,False,7,3,True,True,True,False,0,8,False,False,STO,480.03,inf,inf,inf
56,1,2,2,1,31,1,8,1,32,7,13,2,3,False,True,16,13,4,True,1,1,True,False,True,False,0,16,False,True,TIMING,382.63,1108.58,inf,inf
57,12,3,3,1,8,1,7,13,8,7,12,1,2,False,True,16,4,2,False,3,2,False,False,False,True,3,15,False,False,TIMING,409.97,1160.9,inf,inf
58,1,3,2,1,1,1,8,16,32,8,13,3,3,True,False,16,16,1,False,1,4,False,False,False,False,3,16,True,True,TIMING,401.83,1180.84,inf,inf
59,15,1,2,1,1,9,6,13,32,8,13,3,3,True,True,16,16,1,False,16,4,False,True,False,False,2,16,True,False,STO,488.98,inf,inf,inf
60,2,0,1,1,14,8,7,6,25,7,13,3,1,False,True,16,5,2,False,4,3,True,False,True,True,3,10,True,False,TIMING,400.05,1190.42,inf,inf
61,12,1,2,3,5,8,6,12,7,3,4,3,1,True,True,16,3,3,False,10,3,False,False,True,False,2,13,False,False,TIMING,416.07,1150.22,inf,inf
62,14,3,3,2,23,2,8,2,28,2,3,2,1,False,False,15,5,3,True,12,1,True,False,False,True,3,13,False,True,TIMING,434.7,1090.44,inf,inf
63,13,3,3,1,15,4,8,15,14,4,8,2,3,True,False,15,13,4,False,4,4,False,False,True,False,3,12,False,True,TIMING,435.88,1119.6,inf,inf
64,6,3,1,1,17,10,6,13,15,4,6,1,3,True,True,16,7,3,False,4,3,False,False,True,False,2,11,True,False,TIMING,408.52,1842.99,inf,inf
65,16,3,3,3,24,1,1,16,1,1,13,3,2,True,False,14,1,1,True,1,4,True,False,False,False,2,16,True,False,TIMING,360.65,966.41,inf,inf
66,9,1,3,1,1,5,7,14,29,3,4,1,3,False,True,4,1,1,True,14,1,True,True,True,False,0,15,False,False,TIMING,415.63,1677.56,inf,inf
67,9,3,3,2,2,7,5,15,13,2,8,3,3,False,False,9,5,2,True,4,3,True,True,True,True,2,9,False,False,TIMING,413.05,1666.65,inf,inf
68,13,3,3,1,7,7,1,3,4,6,5,2,3,True,True,16,4,1,True,3,1,False,False,True,False,1,16,True,False,TIMING,368.59,904.0,inf,inf
