id,DATA_MOVER_SHARING,CONVOLVERS,KERNEL_CLOCK,IMPL_STRATEGY,DATA_MOVER_CLOCK,CLOCK_UNCERTAINTY,state,presynth_time,synth_time,impl_time,run_time
1133,3,1,1,5,1,57.020228482226045,OK,526.0,671.42,302.16,1646028062.0
1134,2,1,2,10,2,95.84504775051442,OK,530.22,639.33,314.39,2543485538.0
1135,0,2,2,11,2,20.162936219325545,OK,640.7,633.45,299.9,1383799666.0
1136,0,2,2,4,2,42.41859387956883,OK,646.47,661.81,302.67,1405964444.0
1137,1,1,2,5,2,77.42964381077117,OK,556.16,664.53,302.65,2246010050.0
1138,1,2,2,23,2,25.175264123582018,OK,613.82,611.97,292.5,1393703478.0
1139,2,2,2,2,2,22.82557329834948,OK,629.61,633.62,298.07,1383701262.0
1140,1,1,1,11,1,56.45353075093017,OK,555.54,640.32,304.66,1646133642.0
1141,3,2,2,11,2,46.02304199019296,OK,633.53,644.25,296.76,1407841150.0
1142,3,2,2,19,2,69.70075988386633,OK,628.22,680.52,312.39,1499723280.0
1143,1,1,2,24,2,34.21267437047856,OK,543.16,637.52,276.76,1939360818.0
1144,0,2,2,4,2,62.55168153193542,OK,629.41,645.65,329.3,1494567824.0
1145,1,2,2,6,2,73.20650410843892,OK,629.01,638.72,316.73,1557572004.0
1146,2,2,1,20,1,61.48478053090469,OK,629.74,659.49,337.55,1262505510.0
1147,2,2,2,4,2,69.36340406952898,OK,647.49,610.85,326.63,1497245034.0
1148,0,2,2,4,2,53.29012771347671,OK,655.48,663.92,308.32,1429469208.0
1149,3,1,2,27,2,40.97566102387873,OK,547.68,632.44,277.36,1960924640.0
1150,2,2,2,0,2,56.70705121913598,OK,625.96,611.86,308.91,1442213802.0
1151,0,1,2,20,2,26.982861316385296,OK,548.26,620.03,286.71,1938317716.0
1152,0,1,1,2,1,30.078563696055348,OK,528.91,641.44,293.19,1578336284.0
1153,3,1,2,14,2,66.07664925803425,OK,521.8,671.47,297.64,2106117196.0
1154,1,1,2,5,2,49.81370219547625,OK,567.19,662.74,266.44,2003994170.0
1155,1,1,2,16,2,42.99946104458917,OK,567.73,627.85,289.88,1961391818.0
1156,2,1,2,15,2,95.89248722831003,OK,567.71,651.49,307.4,2543501010.0
1157,1,2,2,12,2,53.786586699273556,OK,619.21,634.21,318.11,1440966938.0
1158,1,2,2,18,2,44.11576957267944,OK,617.59,645.79,298.05,1406888266.0
1159,0,1,2,16,2,89.56977848402725,OK,558.4,559.91,317.92,2543550734.0
1160,2,1,1,22,1,57.8340073617731,TIMING,558.4,641.27,inf,inf
1161,2,2,2,25,2,91.26461727954927,OK,645.73,660.99,373.09,1880587254.0
1162,1,1,2,12,2,35.07982794135509,OK,540.78,638.74,278.83,1939477110.0
1163,1,2,2,13,2,67.19264592549625,OK,622.09,615.81,318.57,1499701234.0
1164,2,2,2,8,2,91.86854568032315,OK,632.1,668.79,372.68,1880623936.0
1165,2,1,1,3,1,60.45983484322226,OK,535.72,599.4,303.77,1646835392.0
1166,0,2,2,26,2,35.8350149046457,OK,640.07,622.14,289.64,1394876172.0
1167,2,2,1,3,1,65.08739213073622,OK,635.74,623.8,347.31,1271965604.0
1168,3,2,2,25,2,56.81795348261973,OK,640.19,685.17,329.24,1442109034.0
1169,1,1,2,19,2,20.056745914938134,OK,529.45,643.15,284.58,1917933184.0
1170,3,1,1,3,1,57.39263285324938,OK,550.13,654.48,309.05,1646191906.0
1171,1,1,2,12,2,99.56225948171203,OK,527.73,634.49,319.94,2543543496.0
1172,3,1,2,22,2,63.1202155873108,OK,550.73,650.3,279.84,2101965230.0
1173,1,2,1,21,1,53.125506343621055,OK,627.63,652.8,342.86,1224032036.0
1174,0,2,2,26,2,47.48525446409458,OK,666.64,614.22,286.86,1418270930.0
1175,0,2,2,20,2,39.509808803998354,OK,666.45,672.74,293.17,1394912436.0
1176,3,2,2,1,2,29.72191225252209,OK,666.79,607.33,297.65,1393756686.0
1177,1,1,0,27,1,30.566097896158173,TIMING,548.15,676.43,inf,inf
1178,3,1,1,0,1,55.52614860206996,OK,526.44,640.7,313.5,1644640166.0
1179,2,1,2,27,2,22.671158430379535,OK,527.23,664.35,283.79,1917848620.0
1180,0,1,2,14,2,84.42981113393766,OK,557.76,607.7,317.0,2453087762.0
1181,2,1,2,1,2,78.193066320812,OK,532.7,627.69,314.77,2247461412.0
1182,2,2,2,27,2,39.015917602492976,OK,627.97,660.97,297.93,1394895172.0
1183,2,2,2,6,2,72.3469232916804,OK,627.2,691.63,327.34,1500964308.0
1184,0,1,1,6,1,50.333378625904615,OK,535.21,671.18,301.61,1645343324.0
1185,2,1,2,13,2,47.8383264468626,OK,565.37,660.48,283.06,1983975924.0
1186,3,2,1,16,1,55.873261004949214,OK,624.74,641.31,337.99,1223443358.0
1187,2,1,2,10,2,86.64662685257842,OK,565.37,681.02,319.37,2543523884.0
1188,0,2,2,11,2,20.86515026861567,OK,655.82,633.88,312.71,1383767932.0
1189,0,1,2,3,2,71.8668658895333,OK,535.89,667.07,286.84,2107398912.0
1190,2,1,2,7,2,61.94171832605729,OK,533.86,640.48,283.1,2100919676.0
1191,0,2,2,20,2,47.64789308851671,OK,630.27,665.87,299.39,1418346272.0
1192,2,2,2,13,2,38.1266512641964,OK,627.67,629.25,314.74,1394893376.0
1193,3,1,2,7,2,20.097333531190444,OK,526.88,671.89,287.62,1917813628.0
1194,1,2,2,21,2,74.92896227248411,OK,656.22,656.85,327.17,1558897516.0
1195,3,1,2,25,2,22.304250171373525,OK,554.42,661.48,272.61,1917844154.0
1196,1,1,2,4,2,17.08475733285639,OK,554.42,625.12,281.61,1917399482.0
1197,0,2,2,6,2,35.54839804504343,OK,623.76,632.64,297.39,1394907330.0
1198,3,1,2,12,2,16.370812268291836,OK,529.45,672.74,282.12,1917268976.0
1199,0,2,2,18,2,90.14454976677216,OK,630.85,630.58,363.73,1880605688.0
1200,2,2,2,25,2,82.76975145370491,OK,638.54,657.85,353.58,1779850428.0
1201,2,1,2,5,2,94.19618797604355,OK,556.48,639.63,316.11,2543431294.0
